# 커밋 47cf8e2 · 뽑은 시각 2026-08-31 20:57 · DB C:/Users/정영민/AppData/Local/Temp/claude/C--Users-----Desktop-----------/aa513b3c-03be-410f-b5bd-77f27ada4fab/scratchpad/vocab.db
# 이 줄 아래가 그 시점의 답이다. 코드가 바뀌면 다시 뽑고 O/X 를 옮긴다.
질문,봇이 낸 문서,URL,인용 앞부분,의심,검수 OX,올바른 문서(X일 때만),메모
수강신청 언제야,학사일정 · 수강신청,https://www.jbnu.ac.kr/web/academic/schedule.do,제2학기 수강신청 변경(추가) 기간 — 2026-09-01~2026-09-07,,,,[deadline.upcoming]
수강신청 학점 상한,전북대학교 본부 · 수강신청(학부/대학원),https://www.jbnu.ac.kr/web/academic/class/sub01.do,"① 다음 과목은 수강신청 상한학점에서 제외 가. 사회봉사 나. 현장실습 다. 군사학과목 라. 모험과 창의, 모험과소통, 모험과 취 · 창업, R",,,,[info.search]
재수강 규정,총학 확인 · 재수강,,전북대는 재수강(규정 용어로는 '재이수') 횟수 제한이 없어요. 모든 교과목을 다시 들을 수 있습니다. 다만 재이수한 과목의 성적은 **A0(4,,,,[manual]
계절학기 수강료,전북대학교 본부 · 수강신청(학부/대학원),https://www.jbnu.ac.kr/web/academic/class/sub01.do,"구분 | 내용 | 신청기간 개설교과목 신청 | 개설대표 학(부)과 | 4월, 10월 초순 수강신청 | 학생 | 5월, 11월 초순 수강료 납부 ",,,,[info.search]
성적 A+ 몇 점,전북대학교 본부 · 시험/성적,https://www.jbnu.ac.kr/web/academic/class/sub02.do,등급 | 평점 | 비고(100점 만점 기준) A+ | 4.5 | 95 ~ 100 A | 4.0 | 90 ~ 94 B+ | 3.5 | 85 ~ 8,,,,[info.search]
성적 이의신청,(답 못 함),,,,,,info.search · 폴백→no-alias
시험 언제,학사일정 · 시험,https://www.jbnu.ac.kr/web/academic/schedule.do,중간시험 완료 — 2026-10-30,,,,[deadline.upcoming]
학점포기,총학 확인 · 학점포기,,전북대에는 학점포기 제도가 없어요.,,,,[manual]
1종 장학금 얼마야,전북대학교 본부 · 교내장학금,https://www.jbnu.ac.kr/web/academic/scholarship/sub02.do,금액별 분류 1종 장학금 : 등록금 전액 2종 장학금 : 수업료2 전액 3종 장학금 : 수업료2 50% 4종 장학금 : 수업료2 25% 5종 장,,,,[info.search]
국가장학금 신청,전북대학교 본부 · 교외장학금,https://www.jbnu.ac.kr/web/academic/scholarship/sub03.do,국가장학금 소득수준에 따라 한국장학재단에서 선발완료한 재학생에게 지급 신청시기 : 매년 12월 / 6월 신청방법 : 한국장학재단 홈페이지(www,,,,[info.search]
교내 장학금 종류,전북대학교 본부 · 교내장학금,https://www.jbnu.ac.kr/web/academic/scholarship/sub02.do,기타안내 지급방법 : 각 장학금에 선발된 학생에 대하여 등록금 고지서에 우선감면하여 지급 자세한 장학금 종류 및 지급액은 첨부파일에서 확인,,,,[info.search]
등록금 납부 기간,(답 못 함),,,,,,deadline.upcoming · 블록(None)보다 발화 — 시간질문+학사일정주제
등록금 분할납부,등록금 · 분할납부,https://fees.jbnu.ac.kr/fees/10696/subview.do,가. 대 상 : 대학(원) 재학생으로서 가사 곤란자 정부학자금 대출 이용자 제외(분할된 납입금만 대출되오니 주의하시기 바람) 나. 분할 회수 :,,,,[info.search]
근로장학생,(답 못 함),,,,,,info.search · 폴백→no-alias
학자금 대출,전북대학교 본부 · 학자금대출,https://www.jbnu.ac.kr/web/academic/scholarship/sub04.do,농촌출신 대학생 학자금대출 농어촌에 거주하는 학부 재학생에 대하여 대출 실행 대상 농어촌에 주소를 두고 6개월 이상 거주하거나 농어업에 종사하고,,,,[info.search]
장학금 공지,전북대학교 본부 · 교외장학금,https://www.jbnu.ac.kr/web/academic/scholarship/sub03.do,기타 사항 위 국가장학금 외 한국장학재단에서 시행하는 각종 장학사업이 다양하므로 한국장학재단 홈페이지를 방문하여 수시로 공지사항을 참고하여야 함,,,,[info.search]
휴학 신청,전북대학교 본부 · 휴학 / 복학,https://www.jbnu.ac.kr/web/academic/information/sub01.do,학기 개강 후 휴학일자 일반휴학 : 일반휴학 신청일자 군휴학 : 군입대 일자 입력 임신ㆍ출산ㆍ육아 휴학 : 신청 일자로 자동 입력 됨 질병휴학 ,,,,[info.search]
복학 신청,전북대학교 본부 · 휴학 / 복학,https://www.jbnu.ac.kr/web/academic/information/sub01.do,복학일자 입력 방법 학기 개강일 전 신청 : 복학 신청 학기 시작일(입력) 학기 개강일 후 신청 : 신분변동일(입력)※신분변동일 입력한 날짜에 ,,,,[info.search]
자퇴 절차,전북대학교 본부 · 자퇴 / 제적,https://www.jbnu.ac.kr/web/academic/information/sub02.do,자퇴원 작성 및 제출 OASIS에서 자퇴 신청 보호자 전화번호 입력 → 자퇴사유 입력→ 자퇴 신청 → 자퇴원 출력(납부한 등록금이 있는 경우 납,,,,[info.search]
전과 신청,전북대학교 본부 · 전학 / 전과,https://www.jbnu.ac.kr/web/academic/information/sub03.do,"신청시기 : 매년 12월 중 시행 공고, 1월 중 신청 구비서류 : 전학ㆍ전과 지원서, 사전상담 보고서",,,,[info.search]
복수전공 신청,전북대학교 본부 · 복수전공,https://www.jbnu.ac.kr/web/academic/curriculum/sub05.do,신청 자격 2개 학기 이상 이수한 자 휴학생은 신청 자격이 없음. 제 2복수전공 신청은 현재 이수중인 제 1복수전공 학과의 전공학점의 1/2 이,,,,[info.search]
부전공 이수학점,전북대학교 본부 · 부전공,https://www.jbnu.ac.kr/web/academic/curriculum/sub06.do,이수학점 졸업학점은 변동 없이 잔여학점(일반선택)으로 이수한다. 부전공 해당학과(전공)의 부전공 필수과목을 포함하여 21학점 이상을 반드시 이수,,,,[info.search]
조기졸업 요건,(답 못 함),,,,,,info.search · 블록(None)보다 발화 — 발화별칭:alias:졸업요건
편입학 학점인정,전북대학교 본부 · 편입학학점인정,https://www.jbnu.ac.kr/web/academic/information/sub04.do,"구분 | 내용 | 신청기간 계획수립 및 통보 | 학사지원과 → 대학 | 2월,9월 학점인정조서 제출 | 학부(과) → 대학 → 학사지원과 | 4",,,,[info.search]
증명서 발급,(답 못 함),,,,,,info.search · 폴백→no-alias
동아리 등록,창업교육센터 · 전북대학교 창업교육센터 - 동아리(기업) 지원사업,https://startup.jbnu.ac.kr/main/?gc=PJPRGSIN&do=view&pp_code=VRDWYDe6ne5q,동아리(기업) 지원사업 참가신청 동아리(기업) 지원사업 학생 창업자 등록 창업 휴학제 신청 서포터즈 활동일지 참여확인서 출력,,,,[info.search]
박물관 관람,박물관 · 관람안내,https://museum.jbnu.ac.kr/museum/30507/subview.do,"이용안내 개관시간 개관일 휴관일 9:30 ~ 17:30 매주 월요일 ~ 토요일 공휴일, 일요일 관람시 주의사항 - 박물관의 모든 공간은 금연구역",,,,[info.search]
공연 일정,(답 못 함),,,,,,info.search · 폴백→no-alias
